timestamp,robot,battery,current,voltage,charging,energy_used
1017.5000000000001,robot_4,99.98332977294922,1.2,14.8,False,0.02
1018.0000000000001,robot_2,99.982666015625,1.2,14.8,False,0.02
1018.0000000000001,robot_3,99.98320007324219,1.2,14.8,False,0.02
1018.0000000000001,robot_7,99.98433685302734,1.2,14.8,False,0.02
1018.5000000000001,robot_8,99.98226928710938,1.2,14.8,False,0.02
1018.5000000000001,robot_2,99.98066711425781,1.2,14.8,False,0.02
1018.5000000000001,robot_6,99.98086547851562,1.2,14.8,False,0.02
1018.5000000000001,robot_5,99.9800033569336,1.2,14.8,True,0.02
1018.5000000000001,robot_1,99.98280334472656,1.2,14.8,False,0.02
1018.5000000000001,robot_3,99.981201171875,1.2,14.8,False,0.02
1019.0000000000001,robot_8,99.9809341430664,1.2,14.8,True,0.02
1019.0000000000001,robot_1,99.9814682006836,1.2,14.8,False,0.02
1019.0000000000001,robot_3,99.97986602783203,1.2,14.8,False,0.02
1019.0000000000001,robot_6,99.97953033447266,1.2,14.8,True,0.02
1019.0000000000001,robot_7,99.98100280761719,1.2,14.8,False,0.02
1019.0000000000001,robot_4,99.95700073242188,1.2,14.8,False,0.04
1019.0200000000001,robot_2,99.97933197021484,1.2,14.8,True,0.02
1019.5000000000001,robot_5,99.97666931152344,1.2,14.8,False,0.02
1019.5000000000001,robot_7,99.97899627685547,1.2,14.8,False,0.02
1019.5000000000001,robot_2,99.97733306884766,1.2,14.8,False,0.02
1019.5200000000001,robot_4,99.94200134277344,1.2,14.8,False,0.06
1020.0000000000001,robot_6,99.9761962890625,1.2,14.8,False,0.02
1020.0000000000001,robot_1,99.97813415527344,1.2,14.8,True,0.02
1020.0000000000001,robot_4,99.93199920654297,1.2,14.8,True,0.07
1020.0000000000001,robot_3,99.97653198242188,1.2,14.8,True,0.02
1020.5000000000001,robot_5,99.97333526611328,1.2,14.8,False,0.03
1020.5000000000001,robot_7,99.97566986083984,1.2,14.8,False,0.02
1020.5000000000001,robot_6,99.97419738769531,1.2,14.8,False,0.03
1020.5000000000001,robot_2,99.9739990234375,1.2,14.8,False,0.03
1020.5000000000001,robot_3,99.97453308105469,1.2,14.8,True,0.03
1021.0000000000001,robot_5,99.97200012207031,1.2,14.8,True,0.03
1021.0000000000001,robot_4,99.90699768066406,1.2,14.8,False,0.09
1021.0000000000001,robot_8,99.96126556396484,1.2,14.8,False,0.04
1021.0000000000001,robot_3,99.97319793701172,1.2,14.8,False,0.03
1021.0000000000001,robot_2,99.97266387939453,1.2,14.8,False,0.03
1021.5000000000001,robot_6,99.97086334228516,1.2,14.8,True,0.03
1021.5000000000001,robot_3,99.97119903564453,1.2,14.8,False,0.03
1021.5000000000001,robot_4,99.89199829101562,1.2,14.8,False,0.11
1022.0000000000001,robot_5,99.96866607666016,1.2,14.8,True,0.03
1022.0000000000001,robot_6,99.96953582763672,1.2,14.8,True,0.03
1022.0000000000001,robot_8,99.95359802246094,1.2,14.8,False,0.05
1022.0000000000001,robot_3,99.96986389160156,1.2,14.8,True,0.03
1022.0000000000001,robot_7,99.97100067138672,1.2,14.8,True,0.03
1022.5000000000001,robot_8,99.947265625,1.2,14.8,True,0.05
1022.5000000000001,robot_5,99.96666717529297,1.2,14.8,True,0.03
1022.5000000000001,robot_7,99.96900177001953,1.2,14.8,False,0.03
